chr	strand	coord	read_num	sample	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
PA17219	chr18	-	24579881	SRR8798075.50399	GV1	3UTR	NA	24579881	24580924	106957	24579881	24603817	24580925	NA	NA	NA	NA	NA	NA	1044	NA	1044	1
PA17221	chr18	-	24579884	SRR8798075.32267	GV1	3UTR	NA	24579881	24580924	106957	24579881	24603817	24580925	NA	NA	NA	NA	NA	NA	1041	NA	1041	1
PA17222	chr18	-	24579886	SRR8798075.13167	GV1	3UTR	NA	24579881	24580924	106957	24579881	24603817	24580925	NA	NA	NA	NA	NA	NA	1039	NA	1039	1
PA17226	chr18	-	25148748	SRR8798075.60646	GV1	intron	NA	25141638	25149113	66648	25127223	25168694	25129835	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17234	chr18	-	29433830	SRR8798075.27865	GV1	intron	NA	29397186	29440003	78058	29396716	29496416	29396716	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17236	chr18	-	32119679	SRR8798075.57915	GV1	exon	NA	32119562	32120413	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17237	chr18	-	32269376	SRR8798075.37627	GV1	intergenic	NA	32359053	32139570	402767	32359053	32377052	32359053	402767	32359053	32377052	19123	32123129	32139570	89677	89677	NA	1
PA17238	chr18	-	33437019	SRR8798075.12350	GV1	3UTR	NA	33437019	33438713	27528	33437019	33464029	33438714	NA	NA	NA	NA	NA	NA	1695	NA	1695	1
PA17239	chr18	-	33796327	SRR8798075.30450	GV1	3UTR	NA	33796327	33797341	13824	33796327	34006919	33797342	NA	NA	NA	NA	NA	NA	1015	NA	1015	1
PA17241	chr18	-	33796959	SRR8798075.43324	GV1	3UTR	NA	33796327	33797341	13824	33796327	34006919	33797342	NA	NA	NA	NA	NA	NA	383	NA	383	1
PA17245	chr18	-	34937633	SRR8798075.54172	GV1	3UTR	NA	34937414	34938315	15526	34937414	34954357	34938316	NA	NA	NA	NA	NA	NA	683	NA	683	1
PA17246	chr18	-	34937637	SRR8798075.6936	GV1	3UTR	NA	34937414	34938315	15526	34937414	34954357	34938316	NA	NA	NA	NA	NA	NA	679	NA	679	1
PA17247	chr18	-	34937638	SRR8798075.4912	GV1	3UTR	NA	34937414	34938315	15526	34937414	34954357	34938316	NA	NA	NA	NA	NA	NA	678	NA	678	1
PA17248	chr18	-	34937639	SRR8798075.28430	GV1	3UTR	NA	34937414	34938315	15526	34937414	34954357	34938316	NA	NA	NA	NA	NA	NA	677	NA	677	1
PA17251	chr18	-	35211741	SRR8798075.587	GV1	3UTR	NA	35209003	35212699	107065	35209003	35215024	35212700	NA	NA	NA	NA	NA	NA	959	NA	959	1
PA17252	chr18	-	35318502	SRR8798075.37706	GV1	intron	NA	35317964	35325283	81500	35266396	35343067	35266396	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17253	chr18	-	35455402	SRR8798075.41794	GV1	intron	NA	35418196	35498790	81500	35266396	35343067	35266396	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17254	chr18	-	35502202	SRR8798075.54409	GV1	intergenic	NA	35584519	35499780	character(0)	35584519	35598573	3074322	character(0)	35584519	35598573	81500	35418059	35499780	32427880	82317	NA	1
PA17255	chr18	-	35675021	SRR8798075.57119	GV1	3UTR	NA	35671103	35675118	76594	35671103	35703121	35675119	NA	NA	NA	NA	NA	NA	98	NA	98	1
PA17257	chr18	-	36404083	SRR8798075.12842	GV1	3UTR	NA	36403676	36404376	67199	36403676	36454524	36404377	NA	NA	NA	NA	NA	NA	294	NA	294	1
PA17264	chr18	-	36404088	SRR8798075.4608	GV1	3UTR	NA	36403676	36404376	67199	36403676	36454524	36404377	NA	NA	NA	NA	NA	NA	289	NA	289	1
PA17270	chr18	-	36766528	SRR8798075.49069	GV1	3UTR	NA	36766528	36766881	15115	36766528	36783205	36766882	NA	NA	NA	NA	NA	NA	354	NA	354	1
PA17272	chr18	-	37642022	SRR8798075.5409	GV1	3UTR	NA	37640491	37642486	24074	37640491	37644204	37642487	NA	NA	NA	NA	NA	NA	465	NA	465	1
PA17288	chr18	-	37642024	SRR8798075.29134	GV1	3UTR	NA	37640491	37642486	24074	37640491	37644204	37642487	NA	NA	NA	NA	NA	NA	463	NA	463	1
PA17289	chr18	-	37642026	SRR8798075.37646	GV1	3UTR	NA	37640491	37642486	24074	37640491	37644204	37642487	NA	NA	NA	NA	NA	NA	461	NA	461	1
PA17300	chr18	-	37936971	SRR8798075.33371	GV1	exon	NA	37935844	37937683	15183	37935844	37945564	37935844	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17301	chr18	-	37937075	SRR8798075.25052	GV1	3UTR	NA	37936972	37937613	15183	37935844	37945564	37935844	NA	NA	NA	NA	NA	NA	1231	NA	1231	1
PA17304	chr18	-	38586247	SRR8798075.32283	GV1	3UTR	NA	38586247	38589805	24066	38586247	38601415	38589806	NA	NA	NA	NA	NA	NA	3559	NA	3559	1
PA17306	chr18	-	38586249	SRR8798075.45668	GV1	3UTR	NA	38586247	38589805	24066	38586247	38601415	38589806	NA	NA	NA	NA	NA	NA	3557	NA	3557	1
PA17319	chr18	-	38586402	SRR8798075.38344	GV1	3UTR	NA	38586247	38589805	24066	38586247	38601415	38589806	NA	NA	NA	NA	NA	NA	3404	NA	3404	1
PA17320	chr18	-	38588086	SRR8798075.46603	GV1	3UTR	NA	38586247	38589805	24066	38586247	38601415	38589806	NA	NA	NA	NA	NA	NA	1720	NA	1720	1
PA17325	chr18	-	40204286	SRR8798075.48232	GV1	3UTR	NA	40203896	40206237	67180	40203896	40219429	40206238	NA	NA	NA	NA	NA	NA	1952	NA	1952	1
PA17326	chr18	-	40204864	SRR8798075.13605	GV1	3UTR	NA	40203896	40206237	67180	40203896	40219429	40206238	NA	NA	NA	NA	NA	NA	1374	NA	1374	1
PA17327	chr18	-	42645269	SRR8798075.31038	GV1	3UTR	NA	42645269	42645727	72930	42637432	42899503	42637432	NA	NA	NA	NA	NA	NA	7837	NA	7837	1
PA17330	chr18	-	42684671	SRR8798075.13141	GV1	intron	NA	42663280	42688301	72930	42637432	42899503	42637432	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17332	chr18	-	43476024	SRR8798075.41566	GV1	3UTR	NA	43475418	43476954	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	40401702	NA	40401702	1
PA17338	chr18	-	43476316	SRR8798075.21836	GV1	3UTR	NA	43475418	43476954	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	40401994	NA	40401994	1
PA17339	chr18	-	43476587	SRR8798075.45506	GV1	3UTR	NA	43475418	43476954	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	40402265	NA	40402265	1
PA17340	chr18	-	44425060	SRR8798075.37925	GV1	3UTR	NA	44425060	44429886	328949	44425060	44812182	44429887	NA	NA	NA	NA	NA	NA	4827	NA	4827	1
PA17341	chr18	-	44425062	SRR8798075.52387	GV1	3UTR	NA	44425060	44429886	328949	44425060	44812182	44429887	NA	NA	NA	NA	NA	NA	4825	NA	4825	1
PA17342	chr18	-	44429205	SRR8798075.20941	GV1	3UTR	NA	44425060	44429886	328949	44425060	44812182	44429887	NA	NA	NA	NA	NA	NA	682	NA	682	1
PA17346	chr18	-	45753855	SRR8798075.20548	GV1	intron	NA	45701923	45836977	107003	45683487	45896509	45683487	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17347	chr18	-	46029966	SRR8798075.6265	GV1	intron	NA	45837084	46043965	107003	45683487	45896509	45683487	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17355	chr18	-	46029969	SRR8798075.777	GV1	intron	NA	45837084	46043965	107003	45683487	45896509	45683487	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17358	chr18	-	46029973	SRR8798075.41812	GV1	intron	NA	45837084	46043965	107003	45683487	45896509	45683487	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17359	chr18	-	46029974	SRR8798075.9014	GV1	intron	NA	45837084	46043965	107003	45683487	45896509	45683487	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17363	chr18	-	46165611	SRR8798075.10603	GV1	3UTR	NA	46165300	46167412	28105	46165300	46212607	46167413	NA	NA	NA	NA	NA	NA	1802	NA	1802	1
PA17366	chr18	-	46587490	SRR8798075.6497	GV1	intron	NA	46561073	46588560	225471	46557291	46574533	46560320	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17374	chr18	-	46713620	SRR8798075.17751	GV1	3UTR	NA	46713193	46713931	12583	46713193	46728395	46713932	NA	NA	NA	NA	NA	NA	312	NA	312	1
PA17377	chr18	-	46791495	SRR8798075.2686	GV1	intergenic	NA	46908558	46741580	character(0)	46908558	46908925	3074322	character(0)	46908558	46908925	67526	46735547	46741580	43717173	117063	NA	1
PA17378	chr18	-	46791498	SRR8798075.31158	GV1	intergenic	NA	46908558	46741580	character(0)	46908558	46908925	3074322	character(0)	46908558	46908925	67526	46735547	46741580	43717176	117060	NA	1
PA17379	chr18	-	48980070	SRR8798075.42715	GV1	intergenic	NA	49581696	48070022	character(0)	49581696	49581849	3074322	character(0)	49581696	49581849	character(0)	48068322	48070022	45905748	601626	NA	1
PA17128	chr18	-	4949012	SRR8798075.14242	GV1	intergenic	NA	5162839	4379985	102637682	5162839	5165731	5162839	102637682	5162839	5165731	character(0)	4373669	4379985	213827	213827	NA	1
PA17129	chr18	-	5210032	SRR8798075.39878	GV1	3UTR	NA	5210029	5210639	240186	5210029	5334439	5210640	NA	NA	NA	NA	NA	NA	608	NA	608	1
PA17389	chr18	-	53534574	SRR8798075.39898	GV1	intergenic	NA	53681723	53418115	225523	53681723	53744547	53683233	225523	53681723	53744547	19038	53406332	53418115	148659	147149	NA	1
PA17390	chr18	-	53681723	SRR8798075.33807	GV1	3UTR	NA	53681723	53683232	225523	53681723	53744547	53683233	NA	NA	NA	NA	NA	NA	1510	NA	1510	1
PA17392	chr18	-	56524720	SRR8798075.57560	GV1	intron	NA	56518588	56526733	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17394	chr18	-	56526760	SRR8798075.32892	GV1	3UTR	NA	56524722	56526952	110695	56524722	56572951	56526953	NA	NA	NA	NA	NA	NA	193	NA	193	1
PA17396	chr18	-	57560562	SRR8798075.11076	GV1	intergenic	NA	57632079	57552397	70157	57632079	57638585	57632079	70157	57632079	57638585	75084	57547762	57552397	71517	71517	NA	1
PA17400	chr18	-	57560565	SRR8798075.20514	GV1	intergenic	NA	57632079	57552397	70157	57632079	57638585	57632079	70157	57632079	57638585	75084	57547762	57552397	71514	71514	NA	1
PA17401	chr18	-	57560570	SRR8798075.61125	GV1	intergenic	NA	57632079	57552397	70157	57632079	57638585	57632079	70157	57632079	57638585	75084	57547762	57552397	71509	71509	NA	1
PA17403	chr18	-	57560767	SRR8798075.25829	GV1	intergenic	NA	57632079	57552397	70157	57632079	57638585	57632079	70157	57632079	57638585	75084	57547762	57552397	71312	71312	NA	1
PA17404	chr18	-	58008639	SRR8798075.63323	GV1	3UTR	NA	58008623	58010257	14119	58008623	58210487	58010258	NA	NA	NA	NA	NA	NA	1619	NA	1619	1
PA17131	chr18	-	5827379	SRR8798075.42749	GV1	intergenic	NA	6014254	5611930	character(0)	6014254	6015021	3074322	character(0)	6014254	6015021	character(0)	5611558	5611930	2753057	186875	NA	1
PA17405	chr18	-	58307507	SRR8798075.38884	GV1	intergenic	NA	58615359	58231575	character(0)	58615359	58615489	3074322	character(0)	58615359	58615489	character(0)	58231472	58231575	55233185	307852	NA	1
PA17137	chr18	-	6024618	SRR8798075.6234	GV1	3UTR	NA	6024427	6026555	75415	6024427	6112363	6026556	NA	NA	NA	NA	NA	NA	1938	NA	1938	1
PA17138	chr18	-	6025211	SRR8798075.28878	GV1	3UTR	NA	6024427	6026555	75415	6024427	6112363	6026556	NA	NA	NA	NA	NA	NA	1345	NA	1345	1
PA17143	chr18	-	6025261	SRR8798075.23618	GV1	3UTR	NA	6024427	6026555	75415	6024427	6112363	6026556	NA	NA	NA	NA	NA	NA	1295	NA	1295	1
PA17406	chr18	-	60573722	SRR8798075.46059	GV1	3UTR	NA	NA	NA	170947	NA	NA	NA	170947	60573750	60591788	106878	60474191	60501987	2628	28	2628	1
PA17407	chr18	-	60593988	SRR8798075.5682	GV1	3UTR	NA	60593973	60595825	104027	60593973	60624336	60595826	NA	NA	NA	NA	NA	NA	1838	NA	1838	1
PA17410	chr18	-	60774223	SRR8798075.61049	GV1	intergenic	NA	60778983	60748650	character(0)	60778983	60779394	3074322	character(0)	60778983	60779394	15531	60685963	60748650	57699901	4760	NA	1
PA17413	chr18	-	60995380	SRR8798075.49033	GV1	3UTR	NA	60995380	60996618	240332	60995380	61014222	60996619	NA	NA	NA	NA	NA	NA	1239	NA	1239	1
PA17417	chr18	-	61198081	SRR8798075.20753	GV1	3UTR	NA	61192919	61198137	13521	61192919	61211612	61198138	NA	NA	NA	NA	NA	NA	57	NA	57	1
PA17436	chr18	-	61504255	SRR8798075.50611	GV1	CDS	NA	61504255	61504584	328967	61491657	61536594	61494840	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17439	chr18	-	63692074	SRR8798075.30163	GV1	intron	NA	63682308	63692075	53382	63661094	63692437	63664303	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17441	chr18	-	63692079	SRR8798075.43066	GV1	CDS	NA	63692076	63692173	53382	63661094	63692437	63664303	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17156	chr18	-	6436751	SRR8798075.55950	GV1	3UTR	NA	6435951	6437234	13831	6435951	6516108	6437235	NA	NA	NA	NA	NA	NA	484	NA	484	1
PA17445	chr18	-	64500213	SRR8798075.32737	GV1	3UTR	NA	64499647	64500517	70223	64499647	64516652	64500518	NA	NA	NA	NA	NA	NA	305	NA	305	1
PA17446	chr18	-	64894137	SRR8798075.3435	GV1	intergenic	NA	64978546	64888491	character(0)	64978546	65001175	3074322	character(0)	64978546	65001175	character(0)	64884475	64888491	61819815	84409	NA	1
PA17447	chr18	-	65169095	SRR8798075.13619	GV1	intergenic	NA	65265529	65001175	225638	65265529	65394066	65266071	225638	65265529	65394066	character(0)	64978546	65001175	96976	96434	NA	1
PA17448	chr18	-	65980754	SRR8798075.6557	GV1	3UTR	NA	65980738	65982710	70361	65980738	66002639	65983851	NA	NA	NA	NA	NA	NA	3097	NA	3097	1
PA17452	chr18	-	66002374	SRR8798075.47966	GV1	CDS	NA	66002374	66002611	70361	65980738	66002639	65983851	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17453	chr18	-	66056855	SRR8798075.14912	GV1	3UTR	NA	66056855	66057181	320924	66045302	66291446	66045302	NA	NA	NA	NA	NA	NA	11553	NA	11553	1
PA17457	chr18	-	67404766	SRR8798075.42920	GV1	3UTR	NA	67404764	67405277	69597	67404764	67449172	67405278	NA	NA	NA	NA	NA	NA	512	NA	512	1
PA17459	chr18	-	67404768	SRR8798075.8030	GV1	3UTR	NA	67404764	67405277	69597	67404764	67449172	67405278	NA	NA	NA	NA	NA	NA	510	NA	510	1
PA17460	chr18	-	67404769	SRR8798075.5774	GV1	3UTR	NA	67404764	67405277	69597	67404764	67449172	67405278	NA	NA	NA	NA	NA	NA	509	NA	509	1
PA17461	chr18	-	67404776	SRR8798075.1590	GV1	3UTR	NA	67404764	67405277	69597	67404764	67449172	67405278	NA	NA	NA	NA	NA	NA	502	NA	502	1
PA17462	chr18	-	67404777	SRR8798075.29708	GV1	3UTR	NA	67404764	67405277	69597	67404764	67449172	67405278	NA	NA	NA	NA	NA	NA	501	NA	501	1
PA17463	chr18	-	67488209	SRR8798075.24972	GV1	3UTR	NA	67488209	67491290	68166	67488209	67552721	67491291	NA	NA	NA	NA	NA	NA	3082	NA	3082	1
PA17469	chr18	-	67488780	SRR8798075.23362	GV1	3UTR	NA	67488209	67491290	68166	67488209	67552721	67491291	NA	NA	NA	NA	NA	NA	2511	NA	2511	1
PA17476	chr18	-	67489863	SRR8798075.2871	GV1	3UTR	NA	67488209	67491290	68166	67488209	67552721	67491291	NA	NA	NA	NA	NA	NA	1428	NA	1428	1
PA17478	chr18	-	67665509	SRR8798075.24953	GV1	3UTR	NA	NA	NA	19255	NA	NA	NA	19255	67665511	67724573	225659	67617800	67641336	344	2	344	1
PA17486	chr18	-	68267943	SRR8798075.23056	GV1	3UTR	NA	68260187	68268718	108654	68260187	68300333	68268719	NA	NA	NA	NA	NA	NA	776	NA	776	1
PA17487	chr18	-	68268081	SRR8798075.57276	GV1	3UTR	NA	68260187	68268718	108654	68260187	68300333	68268719	NA	NA	NA	NA	NA	NA	638	NA	638	1
PA17488	chr18	-	68268118	SRR8798075.30957	GV1	3UTR	NA	68260187	68268718	108654	68260187	68300333	68268719	NA	NA	NA	NA	NA	NA	601	NA	601	1
PA17489	chr18	-	68268157	SRR8798075.11518	GV1	3UTR	NA	68260187	68268718	108654	68260187	68300333	68268719	NA	NA	NA	NA	NA	NA	562	NA	562	1
PA17490	chr18	-	68268160	SRR8798075.34828	GV1	3UTR	NA	68260187	68268718	108654	68260187	68300333	68268719	NA	NA	NA	NA	NA	NA	559	NA	559	1
PA17497	chr18	-	73639015	SRR8798075.25401	GV1	3UTR	NA	73639009	73640257	17128	73639009	73703780	73640258	NA	NA	NA	NA	NA	NA	1243	NA	1243	1
PA17498	chr18	-	73770040	SRR8798075.29815	GV1	3UTR	NA	73769903	73770625	107029	73769903	73815438	73770626	NA	NA	NA	NA	NA	NA	586	NA	586	1
PA17500	chr18	-	73770045	SRR8798075.29152	GV1	3UTR	NA	73769903	73770625	107029	73769903	73815438	73770626	NA	NA	NA	NA	NA	NA	581	NA	581	1
PA17501	chr18	-	73770570	SRR8798075.6052	GV1	3UTR	NA	73769903	73770625	107029	73769903	73815438	73770626	NA	NA	NA	NA	NA	NA	56	NA	56	1
PA17502	chr18	-	73770571	SRR8798075.36100	GV1	3UTR	NA	73769903	73770625	107029	73769903	73815438	73770626	NA	NA	NA	NA	NA	NA	55	NA	55	1
PA17504	chr18	-	74196758	SRR8798075.58123	GV1	3UTR	NA	74195299	74196902	66468	74195299	74207779	74196903	NA	NA	NA	NA	NA	NA	145	NA	145	1
PA17508	chr18	-	75549892	SRR8798075.27442	GV1	intron	NA	75521870	75565003	269037	75431224	75697554	75435194	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17509	chr18	-	76977148	SRR8798075.28494	GV1	3UTR	NA	76977148	76977385	71206	76977148	77047308	76977386	NA	NA	NA	NA	NA	NA	238	NA	238	1
PA17510	chr18	-	77060492	SRR8798075.58247	GV1	intergenic	NA	77184269	77047308	character(0)	77184269	77186363	3074322	character(0)	77184269	77186363	71206	76977148	77047308	73986170	123777	NA	1
PA17512	chr18	-	77456110	SRR8798075.30608	GV1	3UTR	NA	77456110	77462331	225743	77456110	77565136	77462332	NA	NA	NA	NA	NA	NA	6222	NA	6222	1
PA17513	chr18	-	77631488	SRR8798075.40691	GV1	3UTR	NA	NA	NA	212163	NA	NA	NA	212163	77631497	77713933	225743	77562144	77565161	3651	9	3651	1
PA17515	chr18	-	77631494	SRR8798075.43023	GV1	3UTR	NA	NA	NA	212163	NA	NA	NA	212163	77631497	77713933	225743	77562144	77565161	3645	3	3645	1
PA17518	chr18	-	77793029	SRR8798075.27213	GV1	3UTR	NA	NA	NA	619308	NA	NA	NA	619308	77793259	77796743	225745	77757567	77773886	230	230	230	1
PA17519	chr18	-	80805911	SRR8798075.38323	GV1	intron	NA	80795433	80808611	50771	80734141	80933983	80736013	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA17157	chr18	-	8141028	SRR8798075.12020	GV1	intergenic	NA	8227514	7869113	character(0)	8227514	8228006	3074322	character(0)	8227514	8228006	character(0)	7868018	7869113	5066706	86486	NA	1
PA17520	chr18	-	81462209	SRR8798075.40731	GV1	intergenic	NA	81627846	81457899	character(0)	81627846	81637747	3074322	character(0)	81627846	81637747	character(0)	81434183	81457899	78387887	165637	NA	1
PA17158	chr18	-	8381643	SRR8798075.49893	GV1	intergenic	NA	8698253	8228006	character(0)	8698253	8698356	3074322	character(0)	8698253	8698356	character(0)	8227514	8228006	5307321	316610	NA	1
PA17524	chr18	-	84011631	SRR8798075.43144	GV1	3UTR	NA	84011627	84013026	110796	84011627	84086404	84013027	NA	NA	NA	NA	NA	NA	1396	NA	1396	1
PA17525	chr18	-	84011633	SRR8798075.4898	GV1	3UTR	NA	84011627	84013026	110796	84011627	84086404	84013027	NA	NA	NA	NA	NA	NA	1394	NA	1394	1
PA17531	chr18	-	84610513	SRR8798075.32842	GV1	3UTR	NA	84610509	84611587	338403	84610509	84650095	84611588	NA	NA	NA	NA	NA	NA	1075	NA	1075	1
PA17533	chr18	-	86241673	SRR8798075.9916	GV1	intergenic	NA	86242965	86097244	character(0)	86242965	86243520	3074322	character(0)	86242965	86243520	character(0)	86096954	86097244	83167351	1292	NA	1
PA17539	chr18	-	88868487	SRR8798075.56781	GV1	3UTR	NA	88865169	88869187	54607	88668695	88894339	88668695	NA	NA	NA	NA	NA	NA	199792	NA	199792	1
PA16377	chr18	+	10263321	SRR8798075.27577	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	10262207	10263285	381157	10325177	10502412	7188999	36	7188999	1
PA16389	chr18	+	10817754	SRR8798075.60674	GV1	3UTR	NA	10812126	10818578	225164	10725548	10818578	10812125	NA	NA	NA	NA	NA	NA	5629	NA	5629	1
PA16397	chr18	+	11945609	SRR8798075.5123	GV1	3UTR	NA	11944602	11945626	63955	11839220	11945626	11944601	NA	NA	NA	NA	NA	NA	1008	NA	1008	1
PA16401	chr18	+	12156703	SRR8798075.26330	GV1	3UTR	NA	12155328	12157387	66878	12128741	12157387	12155327	NA	NA	NA	NA	NA	NA	1376	NA	1376	1
PA16405	chr18	+	12964220	SRR8798075.32732	GV1	intron	NA	12955922	12974712	16210	12955852	12984312	12984312	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA16411	chr18	+	14899644	SRR8798075.39753	GV1	3UTR	NA	14898129	14900359	72504	14783245	14900359	14898128	NA	NA	NA	NA	NA	NA	1516	NA	1516	1
PA16410	chr18	+	14899646	SRR8798075.32552	GV1	3UTR	NA	14898129	14900359	72504	14783245	14900359	14898128	NA	NA	NA	NA	NA	NA	1518	NA	1518	1
PA16412	chr18	+	16295328	SRR8798075.16836	GV1	intergenic	NA	16034046	16728733	character(0)	16033746	16034046	3074322	character(0)	16033746	16034046	character(0)	16728733	16729678	13221006	261282	NA	1
PA16415	chr18	+	16922781	SRR8798075.63044	GV1	intergenic	NA	16822783	17019051	328906	16816407	16822783	16820447	328906	16816407	16822783	75433	17019051	17137559	102334	99998	NA	1
PA16413	chr18	+	16922785	SRR8798075.61837	GV1	intergenic	NA	16822783	17019051	328906	16816407	16822783	16820447	328906	16816407	16822783	75433	17019051	17137559	102338	100002	NA	1
PA16416	chr18	+	16922788	SRR8798075.55173	GV1	intergenic	NA	16822783	17019051	328906	16816407	16822783	16820447	328906	16816407	16822783	75433	17019051	17137559	102341	100005	NA	1
PA16417	chr18	+	19679983	SRR8798075.4794	GV1	intergenic	NA	19201716	19707093	character(0)	19133217	19201716	3074322	character(0)	19133217	19201716	character(0)	19707093	19707389	16605661	478267	NA	1
PA16425	chr18	+	19681470	SRR8798075.54650	GV1	intergenic	NA	19201716	19707093	character(0)	19133217	19201716	3074322	character(0)	19133217	19201716	character(0)	19707093	19707389	16607148	479754	NA	1
PA16418	chr18	+	19681473	SRR8798075.1858	GV1	intergenic	NA	19201716	19707093	character(0)	19133217	19201716	3074322	character(0)	19133217	19201716	character(0)	19707093	19707389	16607151	479757	NA	1
PA16433	chr18	+	21027530	SRR8798075.912	GV1	3UTR	NA	21026155	21027535	56515	21001341	21027535	21026154	NA	NA	NA	NA	NA	NA	1376	NA	1376	1
PA16439	chr18	+	24004730	SRR8798075.55767	GV1	3UTR	NA	24004344	24005376	22694	23989632	24005376	24004343	NA	NA	NA	NA	NA	NA	387	NA	387	1
PA16440	chr18	+	24005364	SRR8798075.61941	GV1	3UTR	NA	24004344	24005376	22694	23989632	24005376	24004343	NA	NA	NA	NA	NA	NA	1021	NA	1021	1
PA16441	chr18	+	24259188	SRR8798075.25568	GV1	intron	NA	24254685	24264324	14423	24205344	24286818	24284856	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA16442	chr18	+	24259229	SRR8798075.50960	GV1	intron	NA	24254685	24264324	14423	24205344	24286818	24284856	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA16443	chr18	+	24286615	SRR8798075.58960	GV1	3UTR	NA	24284857	24286818	14423	24205344	24286818	24284856	NA	NA	NA	NA	NA	NA	1759	NA	1759	1
PA16445	chr18	+	24638801	SRR8798075.24229	GV1	3UTR	NA	24638572	24639507	58523	24602866	24612525	24612525	NA	NA	NA	NA	NA	NA	26276	NA	26276	1
PA16448	chr18	+	24638809	SRR8798075.44070	GV1	3UTR	NA	24638572	24639507	58523	24602866	24612525	24612525	NA	NA	NA	NA	NA	NA	26284	NA	26284	1
PA16444	chr18	+	24638812	SRR8798075.9793	GV1	3UTR	NA	24638572	24639507	58523	24602866	24612525	24612525	NA	NA	NA	NA	NA	NA	26287	NA	26287	1
PA16455	chr18	+	24689904	SRR8798075.49703	GV1	intron	NA	24689063	24692517	68591	24653691	24701575	24701496	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA16454	chr18	+	24689909	SRR8798075.39351	GV1	intron	NA	24689063	24692517	68591	24653691	24701575	24701496	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA16471	chr18	+	25466519	SRR8798075.43861	GV1	3UTR	NA	25463822	25467316	225289	25168999	25463725	25203869	NA	NA	NA	NA	NA	NA	262650	NA	262650	1
PA16472	chr18	+	25467314	SRR8798075.32115	GV1	3UTR	NA	25463822	25467316	225289	25168999	25463725	25203869	NA	NA	NA	NA	NA	NA	263445	NA	263445	1
PA16473	chr18	+	25467321	SRR8798075.31208	GV1	3UTR	NA	25463822	25467321	225289	25168999	25463725	25203869	NA	NA	NA	NA	NA	NA	263452	NA	263452	1
PA16475	chr18	+	26668711	SRR8798075.63352	GV1	intergenic	NA	26495565	27008674	character(0)	26495435	26495565	3074322	character(0)	26495435	26495565	character(0)	27008674	27009328	23594389	173146	NA	1
PA16479	chr18	+	28435639	SRR8798075.24355	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	28432889	28435355	character(0)	28711861	28726847	25361317	284	25361317	1
PA16487	chr18	+	30348118	SRR8798075.59877	GV1	3UTR	NA	30347738	30348126	225326	30272747	30348126	30347737	NA	NA	NA	NA	NA	NA	381	NA	381	1
PA16484	chr18	+	30348120	SRR8798075.8431	GV1	3UTR	NA	30347738	30348126	225326	30272747	30348126	30347737	NA	NA	NA	NA	NA	NA	383	NA	383	1
PA16490	chr18	+	31723054	SRR8798075.21488	GV1	3UTR	NA	31722331	31723061	269003	31634371	31636611	31636611	NA	NA	NA	NA	NA	NA	86443	NA	86443	1
PA16492	chr18	+	31723060	SRR8798075.62757	GV1	3UTR	NA	31722331	31723061	269003	31634371	31636611	31636611	NA	NA	NA	NA	NA	NA	86449	NA	86449	1
PA16489	chr18	+	31723063	SRR8798075.2765	GV1	3UTR	NA	NA	NA	269003	NA	NA	NA	269003	31634383	31723061	character(0)	31738715	31739039	86452	2	86452	1
