read_num chr strand coord
SRR8798075.16727 chr4 + 134523925
SRR8798075.50075 chr4 + 134523918
SRR8798075.31293 chr4 + 134523928
SRR8798075.4526 chr4 + 134896172
SRR8798075.10360 chr4 + 134896172
SRR8798075.19666 chr4 + 134896170
SRR8798075.33614 chr4 + 134896172
SRR8798075.50801 chr4 + 134896172
SRR8798075.12309 chr4 + 134896172
SRR8798075.6011 chr4 + 134924482
SRR8798075.33853 chr4 + 134924482
SRR8798075.34049 chr4 + 134924482
SRR8798075.19783 chr4 + 134924465
SRR8798075.31396 chr4 + 134927372
SRR8798075.49271 chr4 + 134927671
SRR8798075.52382 chr4 + 134927671
SRR8798075.57725 chr4 + 134927669
SRR8798075.18393 chr4 + 134937540
SRR8798075.37321 chr4 + 134937540
SRR8798075.37731 chr4 + 134937540
SRR8798075.24250 chr4 + 134937540
SRR8798075.49838 chr4 + 135708181
SRR8798075.31560 chr4 + 135756587
SRR8798075.17788 chr4 + 135865815
SRR8798075.44942 chr4 + 135865811
SRR8798075.33700 chr4 + 135868382
SRR8798075.54964 chr4 + 135921152
SRR8798075.39623 chr4 + 135962609
SRR8798075.16010 chr4 + 136085213
SRR8798075.22392 chr4 + 136196057
SRR8798075.32889 chr4 + 136196057
SRR8798075.28829 chr4 + 136196057
SRR8798075.20878 chr4 + 136293852
SRR8798075.50139 chr4 + 136293852
SRR8798075.18554 chr4 + 136293852
SRR8798075.4406 chr4 + 136293852
SRR8798075.29592 chr4 + 136293852
SRR8798075.22183 chr4 + 136293852
SRR8798075.24905 chr4 + 136293852
SRR8798075.45955 chr4 + 136340678
SRR8798075.22937 chr4 + 136549319
SRR8798075.24649 chr4 + 136549316
SRR8798075.60380 chr4 + 137594516
SRR8798075.14122 chr4 + 137656343
SRR8798075.39474 chr4 + 137656343
SRR8798075.61339 chr4 + 137656337
SRR8798075.61923 chr4 + 137658531
SRR8798075.48390 chr4 + 137804776
SRR8798075.62354 chr4 + 137965227
SRR8798075.40619 chr4 + 137965229
SRR8798075.57136 chr4 + 137965229
SRR8798075.11621 chr4 + 138207079
SRR8798075.34453 chr4 + 138207062
SRR8798075.22009 chr4 + 138207062
SRR8798075.49431 chr4 + 138243146
SRR8798075.4455 chr4 + 138301973
SRR8798075.11022 chr4 + 138301972
SRR8798075.19328 chr4 + 138301971
SRR8798075.22070 chr4 + 138301968
SRR8798075.2216 chr4 + 138301973
SRR8798075.4219 chr4 + 138301966
SRR8798075.6128 chr4 + 138301972
SRR8798075.16705 chr4 + 138301973
SRR8798075.32943 chr4 + 138301972
SRR8798075.45776 chr4 + 138301972
SRR8798075.47255 chr4 + 138301972
SRR8798075.62488 chr4 + 138301973
SRR8798075.62813 chr4 + 138301972
SRR8798075.8049 chr4 + 138301973
SRR8798075.36733 chr4 + 138312226
SRR8798075.22110 chr4 + 138439908
SRR8798075.29833 chr4 + 138439903
SRR8798075.42744 chr4 + 139291811
SRR8798075.37268 chr4 + 139311076
SRR8798075.37145 chr4 + 139311076
SRR8798075.24582 chr4 + 139318413
SRR8798075.32760 chr4 + 139318420
SRR8798075.39138 chr4 + 139318426
SRR8798075.62897 chr4 + 139318421
SRR8798075.16142 chr4 + 139489533
SRR8798075.26139 chr4 + 139489533
SRR8798075.41487 chr4 + 139489533
SRR8798075.52674 chr4 + 139649687
SRR8798075.21691 chr4 + 139649687
SRR8798075.48556 chr4 + 139649687
SRR8798075.3902 chr4 + 140723215
SRR8798075.11402 chr4 + 140721414
SRR8798075.31240 chr4 + 140721414
SRR8798075.53655 chr4 + 140721470
SRR8798075.63513 chr4 + 140723215
SRR8798075.1935 chr4 + 140723218
SRR8798075.25754 chr4 + 140723215
SRR8798075.51079 chr4 + 140723220
SRR8798075.40154 chr4 + 140723213
SRR8798075.32765 chr4 + 140723220
SRR8798075.22772 chr4 + 140723220
SRR8798075.38423 chr4 + 141007330
SRR8798075.4908 chr4 + 141015973
SRR8798075.36497 chr4 + 141015984
SRR8798075.42349 chr4 + 141015973
SRR8798075.46393 chr4 + 141015972
SRR8798075.47139 chr4 + 141015973
SRR8798075.48292 chr4 + 141015973
SRR8798075.51402 chr4 + 141015976
SRR8798075.51851 chr4 + 141015973
SRR8798075.60350 chr4 + 141103431
SRR8798075.35553 chr4 + 141105354
SRR8798075.1197 chr4 + 141204036
SRR8798075.9485 chr4 + 141204057
SRR8798075.32168 chr4 + 141204061
SRR8798075.40098 chr4 + 141467225
SRR8798075.49250 chr4 + 141467225
SRR8798075.28532 chr4 + 141467229
SRR8798075.35894 chr4 + 141814341
SRR8798075.63374 chr4 + 141815184
SRR8798075.15255 chr4 + 141815975
SRR8798075.36499 chr4 + 142504112
SRR8798075.52180 chr4 + 143134608
SRR8798075.3844 chr4 + 143390787
SRR8798075.7352 chr4 + 143390783
SRR8798075.52958 chr4 + 143390785
SRR8798075.11738 chr4 + 143390789
SRR8798075.39449 chr4 + 143390785
SRR8798075.40626 chr4 + 143390789
SRR8798075.50972 chr4 + 143390773
SRR8798075.20590 chr4 + 143390777
SRR8798075.28782 chr4 + 143390785
SRR8798075.127 chr4 + 143390784
SRR8798075.55969 chr4 + 143421075
SRR8798075.56039 chr4 + 143502209
SRR8798075.2351 chr4 + 143729160
SRR8798075.574 chr4 + 143795576
SRR8798075.14770 chr4 + 143795576
SRR8798075.16667 chr4 + 143795576
SRR8798075.29983 chr4 + 143795625
SRR8798075.34281 chr4 + 143795536
SRR8798075.51336 chr4 + 143795576
SRR8798075.59581 chr4 + 143795576
SRR8798075.3498 chr4 + 143795585
SRR8798075.5551 chr4 + 143795576
SRR8798075.6384 chr4 + 143795574
SRR8798075.8260 chr4 + 143795568
SRR8798075.11294 chr4 + 143795576
SRR8798075.17179 chr4 + 143795600
SRR8798075.21344 chr4 + 143795576
SRR8798075.28056 chr4 + 143795576
SRR8798075.36686 chr4 + 143795576
SRR8798075.41320 chr4 + 143795585
SRR8798075.46920 chr4 + 143795573
SRR8798075.63613 chr4 + 143795576
SRR8798075.24132 chr4 + 143795589
SRR8798075.21321 chr4 + 143795576
SRR8798075.42080 chr4 + 143795576
SRR8798075.22399 chr4 + 143795585
SRR8798075.49967 chr4 + 143795585
SRR8798075.30667 chr4 + 143795425
SRR8798075.2264 chr4 + 143795583
SRR8798075.19863 chr4 + 143795579
SRR8798075.2077 chr4 + 143795575
SRR8798075.62731 chr4 + 143795576
SRR8798075.22611 chr4 + 143795576
SRR8798075.5453 chr4 + 143795576
SRR8798075.5956 chr4 + 143795576
SRR8798075.6438 chr4 + 143795576
SRR8798075.8571 chr4 + 143795576
SRR8798075.8616 chr4 + 143795585
SRR8798075.11399 chr4 + 143795576
SRR8798075.11705 chr4 + 143795585
SRR8798075.12757 chr4 + 143795576
SRR8798075.13978 chr4 + 143795576
SRR8798075.15911 chr4 + 143795579
SRR8798075.16310 chr4 + 143795576
SRR8798075.18436 chr4 + 143795574
SRR8798075.19297 chr4 + 143795532
SRR8798075.19592 chr4 + 143795576
SRR8798075.21664 chr4 + 143795576
SRR8798075.23599 chr4 + 143795576
SRR8798075.25536 chr4 + 143795585
SRR8798075.28050 chr4 + 143795576
SRR8798075.30551 chr4 + 143795576
SRR8798075.31429 chr4 + 143795585
SRR8798075.32759 chr4 + 143795576
SRR8798075.34272 chr4 + 143795579
SRR8798075.34495 chr4 + 143795576
SRR8798075.35839 chr4 + 143795589
SRR8798075.36331 chr4 + 143795576
SRR8798075.37124 chr4 + 143795520
SRR8798075.38930 chr4 + 143795579
SRR8798075.43058 chr4 + 143795576
SRR8798075.45658 chr4 + 143795585
SRR8798075.48343 chr4 + 143795576
SRR8798075.49296 chr4 + 143795576
SRR8798075.53818 chr4 + 143795576
SRR8798075.56660 chr4 + 143795576
SRR8798075.59319 chr4 + 143795574
SRR8798075.60567 chr4 + 143795576
SRR8798075.61822 chr4 + 143795576
SRR8798075.62337 chr4 + 143795584
SRR8798075.62651 chr4 + 143795579
SRR8798075.63217 chr4 + 143795576
SRR8798075.12910 chr4 + 143795576
SRR8798075.15321 chr4 + 143795532
SRR8798075.22377 chr4 + 143795576
SRR8798075.31604 chr4 + 143795574
SRR8798075.58853 chr4 + 143795585
SRR8798075.40583 chr4 + 143795576
SRR8798075.41594 chr4 + 143795579
SRR8798075.24464 chr4 + 143795520
SRR8798075.51940 chr4 + 143795535
SRR8798075.55518 chr4 + 143795576
SRR8798075.50643 chr4 + 143795576
SRR8798075.8968 chr4 + 143795576
SRR8798075.25090 chr4 + 143795558
SRR8798075.56078 chr4 + 143795579
SRR8798075.27557 chr4 + 143795585
SRR8798075.4464 chr4 + 143795603
SRR8798075.14262 chr4 + 143795579
SRR8798075.12788 chr4 + 143795576
SRR8798075.60122 chr4 + 143795583
SRR8798075.37310 chr4 + 143795585
SRR8798075.15109 chr4 + 143795576
SRR8798075.2744 chr4 + 143795576
SRR8798075.42140 chr4 + 143795576
SRR8798075.13129 chr4 + 143795577
SRR8798075.16870 chr4 + 144196880
SRR8798075.21004 chr4 + 144196880
SRR8798075.29598 chr4 + 144196880
SRR8798075.40431 chr4 + 144195145
SRR8798075.6836 chr4 + 144196935
SRR8798075.17231 chr4 + 144196880
SRR8798075.30764 chr4 + 144196880
SRR8798075.39695 chr4 + 144196885
SRR8798075.43538 chr4 + 144196885
SRR8798075.36056 chr4 + 144248785
SRR8798075.19905 chr4 + 144248785
SRR8798075.38359 chr4 + 144248785
SRR8798075.27468 chr4 + 144248785
SRR8798075.41577 chr4 + 144248785
SRR8798075.9708 chr4 + 144433019
SRR8798075.49809 chr4 + 144588972
SRR8798075.54355 chr4 + 144588972
SRR8798075.36000 chr4 + 144588972
SRR8798075.25511 chr4 + 144588972
SRR8798075.14960 chr4 + 144927642
SRR8798075.24406 chr4 + 144927642
SRR8798075.26741 chr4 + 144927642
SRR8798075.51942 chr4 + 144927642
SRR8798075.20144 chr4 + 144927638
SRR8798075.38530 chr4 + 145538956
SRR8798075.59442 chr4 + 145704440
SRR8798075.43329 chr4 + 145704428
SRR8798075.60323 chr4 + 145829947
SRR8798075.48040 chr4 + 146059571
SRR8798075.1647 chr4 + 146071157
SRR8798075.21100 chr4 + 146542808
SRR8798075.2105 chr4 + 146721547
SRR8798075.32503 chr4 + 146721553
SRR8798075.15539 chr4 + 146721554
SRR8798075.49910 chr4 + 146930565
SRR8798075.54165 chr4 + 146930567
SRR8798075.24161 chr4 + 146930712
SRR8798075.53578 chr4 + 147279326
SRR8798075.58100 chr4 + 147279329
SRR8798075.6443 chr4 + 147279321
SRR8798075.51451 chr4 + 147279329
SRR8798075.74 chr4 + 147393158
SRR8798075.38578 chr4 + 147512738
SRR8798075.7513 chr4 + 147515237
SRR8798075.34719 chr4 + 147516064
SRR8798075.20968 chr4 + 147516064
SRR8798075.12622 chr4 + 147516067
SRR8798075.59371 chr4 + 147516064
SRR8798075.27966 chr4 + 147515104
SRR8798075.28542 chr4 + 147516067
SRR8798075.59978 chr4 + 147516064
SRR8798075.49589 chr4 + 147585193
SRR8798075.7916 chr4 + 147945328
SRR8798075.20089 chr4 + 148145694
SRR8798075.30340 chr4 + 148145676
SRR8798075.36632 chr4 + 148145693
SRR8798075.61415 chr4 + 148145699
SRR8798075.63529 chr4 + 148557683
SRR8798075.12278 chr4 + 148557680
SRR8798075.6470 chr4 + 148577224
SRR8798075.4687 chr4 + 148594597
SRR8798075.39375 chr4 + 148594599
SRR8798075.51870 chr4 + 148594605
SRR8798075.24931 chr4 + 148594600
SRR8798075.32380 chr4 + 148594600
SRR8798075.39415 chr4 + 148594597
SRR8798075.44112 chr4 + 148594605
SRR8798075.49948 chr4 + 148594599
SRR8798075.39225 chr4 + 149457895
SRR8798075.49802 chr4 + 149457895
SRR8798075.41760 chr4 + 149457895
SRR8798075.29182 chr4 + 149496668
SRR8798075.32785 chr4 + 149496668
SRR8798075.6254 chr4 + 149564524
SRR8798075.50536 chr4 + 149566436
SRR8798075.61435 chr4 + 149564865
SRR8798075.34688 chr4 + 149564501
SRR8798075.33737 chr4 + 149566397
SRR8798075.31718 chr4 + 149566436
SRR8798075.12407 chr4 + 150618553
SRR8798075.34890 chr4 + 150620038
SRR8798075.6867 chr4 + 150868889
SRR8798075.15945 chr4 + 150866531
SRR8798075.16987 chr4 + 150866531
SRR8798075.50458 chr4 + 150868419
SRR8798075.54050 chr4 + 150868889
SRR8798075.47482 chr4 + 150868883
SRR8798075.9229 chr4 + 150868399
SRR8798075.10389 chr4 + 150868889
SRR8798075.52727 chr4 + 150958395
SRR8798075.15455 chr4 + 151556156
SRR8798075.22515 chr4 + 151968628
SRR8798075.5126 chr4 + 151981222
SRR8798075.7239 chr4 + 151981222
SRR8798075.7603 chr4 + 151981219
SRR8798075.9180 chr4 + 151981955
SRR8798075.10373 chr4 + 151981222
SRR8798075.15710 chr4 + 151981216
SRR8798075.16163 chr4 + 151981955
SRR8798075.16793 chr4 + 151981222
SRR8798075.19276 chr4 + 151981222
SRR8798075.23886 chr4 + 151981212
SRR8798075.24005 chr4 + 151981219
SRR8798075.25031 chr4 + 151981222
SRR8798075.25320 chr4 + 151981219
SRR8798075.31020 chr4 + 151981219
SRR8798075.31582 chr4 + 151981222
SRR8798075.31958 chr4 + 151981222
SRR8798075.36202 chr4 + 151981225
SRR8798075.37987 chr4 + 151981219
SRR8798075.42858 chr4 + 151981225
SRR8798075.44392 chr4 + 151981222
SRR8798075.44785 chr4 + 151981219
SRR8798075.52226 chr4 + 151981222
SRR8798075.55625 chr4 + 151981222
SRR8798075.63668 chr4 + 151981222
SRR8798075.11113 chr4 + 151981222
SRR8798075.47410 chr4 + 151981225
SRR8798075.60179 chr4 + 151981222
SRR8798075.11418 chr4 + 151981222
SRR8798075.53506 chr4 + 151981222
SRR8798075.9647 chr4 + 151981955
SRR8798075.50346 chr4 + 151981955
SRR8798075.475 chr4 + 151981955
SRR8798075.42653 chr4 + 152017680
SRR8798075.55652 chr4 + 152060042
SRR8798075.57907 chr4 + 152060032
SRR8798075.2319 chr4 + 152115390
SRR8798075.55672 chr4 + 152115400
SRR8798075.51410 chr4 + 152271846
SRR8798075.41196 chr4 + 152303769
SRR8798075.53556 chr4 + 152304029
SRR8798075.30140 chr4 + 152307120
SRR8798075.46595 chr4 + 152307120
SRR8798075.24226 chr4 + 152334068
SRR8798075.37579 chr4 + 152334069
SRR8798075.9049 chr4 + 152334071
SRR8798075.36463 chr4 + 152555699
SRR8798075.7547 chr4 + 152563184
SRR8798075.11040 chr4 + 152563184
SRR8798075.55549 chr4 + 152563176
SRR8798075.40138 chr4 + 152563181
SRR8798075.58993 chr4 + 152998434
SRR8798075.45238 chr4 + 153734172
SRR8798075.37745 chr4 + 154008735
SRR8798075.19537 chr4 + 154020643
SRR8798075.24310 chr4 + 154021513
SRR8798075.53899 chr4 + 154021513
SRR8798075.48399 chr4 + 154021513
SRR8798075.22627 chr4 + 154021511
SRR8798075.9992 chr4 + 154021511
SRR8798075.37677 chr4 + 154021511
SRR8798075.38905 chr4 + 154021500
SRR8798075.5200 chr4 + 154021513
SRR8798075.16463 chr4 + 154156814
SRR8798075.3834 chr4 + 154168259
SRR8798075.22460 chr4 + 154274450
SRR8798075.12838 chr4 + 155256682
SRR8798075.35949 chr4 + 155559266
SRR8798075.52532 chr4 + 155559269
SRR8798075.57690 chr4 + 155559269
SRR8798075.33611 chr4 + 155590997
SRR8798075.45874 chr4 + 155590997
SRR8798075.21807 chr4 + 155590997
SRR8798075.21140 chr4 + 155590997
SRR8798075.40920 chr4 + 155649935
SRR8798075.16593 chr4 + 155705446
SRR8798075.30843 chr4 + 155705461
SRR8798075.31013 chr4 + 155705461
SRR8798075.34345 chr4 + 155705461
SRR8798075.33419 chr4 + 155733779
SRR8798075.40433 chr4 + 155733786
SRR8798075.44906 chr4 + 155733779
SRR8798075.28763 chr4 + 155818841
SRR8798075.9552 chr4 + 155824345
SRR8798075.10352 chr4 + 155824343
SRR8798075.44488 chr4 + 155824331
SRR8798075.5153 chr4 + 155824356
SRR8798075.42533 chr4 + 155824357
SRR8798075.38515 chr4 + 155844094
SRR8798075.36658 chr4 + 155844088
SRR8798075.46670 chr4 + 155888869
SRR8798075.21584 chr4 + 155888864
SRR8798075.33658 chr4 + 155888869
SRR8798075.44084 chr4 + 155936452
SRR8798075.27867 chr4 + 155957709
SRR8798075.24236 chr4 + 155957714
SRR8798075.2120 chr4 + 155957644
SRR8798075.22178 chr4 + 156127258
SRR8798075.23232 chr4 + 156127263
SRR8798075.63597 chr4 + 156127263
SRR8798075.44246 chr4 + 156127265
SRR8798075.43262 chr4 + 156127247
SRR8798075.55296 chr4 + 156247417
SRR8798075.23019 chr4 + 156247417
SRR8798075.60577 chr4 - 3834283
SRR8798075.23513 chr4 - 3868043
SRR8798075.29679 chr4 - 3870430
SRR8798075.60596 chr4 - 3870430
SRR8798075.30146 chr4 - 3870432
SRR8798075.63103 chr4 - 3870650
SRR8798075.868 chr4 - 3870657
SRR8798075.1182 chr4 - 3870657
SRR8798075.2823 chr4 - 3870657
SRR8798075.3558 chr4 - 3870657
SRR8798075.5032 chr4 - 3870657
SRR8798075.5092 chr4 - 3870657
SRR8798075.5940 chr4 - 3870657
SRR8798075.6961 chr4 - 3870657
SRR8798075.9846 chr4 - 3870657
SRR8798075.10406 chr4 - 3870657
SRR8798075.10563 chr4 - 3870657
SRR8798075.11025 chr4 - 3870657
SRR8798075.15160 chr4 - 3870657
SRR8798075.15391 chr4 - 3870657
SRR8798075.19870 chr4 - 3870657
SRR8798075.19936 chr4 - 3870657
SRR8798075.21442 chr4 - 3870657
SRR8798075.21781 chr4 - 3870657
SRR8798075.23029 chr4 - 3870657
SRR8798075.25035 chr4 - 3870657
SRR8798075.25143 chr4 - 3870657
SRR8798075.25189 chr4 - 3870657
SRR8798075.25686 chr4 - 3870657
SRR8798075.26078 chr4 - 3870657
SRR8798075.28243 chr4 - 3870657
SRR8798075.35381 chr4 - 3870657
SRR8798075.35517 chr4 - 3870657
SRR8798075.36664 chr4 - 3870657
SRR8798075.36731 chr4 - 3870657
SRR8798075.38661 chr4 - 3870657
SRR8798075.38714 chr4 - 3870657
SRR8798075.40102 chr4 - 3870657
SRR8798075.42616 chr4 - 3870657
SRR8798075.48115 chr4 - 3870657
SRR8798075.48632 chr4 - 3870657
SRR8798075.49159 chr4 - 3870657
SRR8798075.49500 chr4 - 3870657
SRR8798075.49706 chr4 - 3870657
SRR8798075.54224 chr4 - 3870657
SRR8798075.56812 chr4 - 3870657
SRR8798075.57263 chr4 - 3870657
SRR8798075.58318 chr4 - 3870657
SRR8798075.60707 chr4 - 3870657
SRR8798075.60879 chr4 - 3870657
SRR8798075.61056 chr4 - 3870657
SRR8798075.61543 chr4 - 3870657
SRR8798075.63606 chr4 - 3870657
SRR8798075.25970 chr4 - 3870659
SRR8798075.57544 chr4 - 3870661
SRR8798075.23456 chr4 - 3870662
SRR8798075.32524 chr4 - 3870662
SRR8798075.35471 chr4 - 3870663
SRR8798075.62995 chr4 - 3870674
SRR8798075.24386 chr4 - 3973094
SRR8798075.41628 chr4 - 3973094
SRR8798075.34793 chr4 - 6093246
SRR8798075.54757 chr4 - 6396212
SRR8798075.29830 chr4 - 8513033
SRR8798075.32780 chr4 - 8513033
SRR8798075.38305 chr4 - 8513033
SRR8798075.54469 chr4 - 8513036
SRR8798075.324 chr4 - 8513041
SRR8798075.18760 chr4 - 8513043
SRR8798075.124 chr4 - 9575271
SRR8798075.46170 chr4 - 9575271
SRR8798075.14742 chr4 - 10371105
SRR8798075.16943 chr4 - 10371105
SRR8798075.29662 chr4 - 10371105
SRR8798075.55216 chr4 - 10371105
SRR8798075.5894 chr4 - 10371584
SRR8798075.22878 chr4 - 10957931
SRR8798075.12135 chr4 - 11075979
SRR8798075.56627 chr4 - 11075979
SRR8798075.13242 chr4 - 11204383
SRR8798075.5343 chr4 - 11264826
SRR8798075.43430 chr4 - 11265299
SRR8798075.131 chr4 - 11331933
SRR8798075.929 chr4 - 11331933
SRR8798075.1061 chr4 - 11331933
SRR8798075.9405 chr4 - 11331933
SRR8798075.11240 chr4 - 11331933
SRR8798075.14803 chr4 - 11331933
SRR8798075.15155 chr4 - 11331933
SRR8798075.15677 chr4 - 11331933
SRR8798075.31001 chr4 - 11331933
SRR8798075.43130 chr4 - 11331933
SRR8798075.52242 chr4 - 11331933
SRR8798075.55020 chr4 - 11331933
SRR8798075.4999 chr4 - 11331934
SRR8798075.268 chr4 - 11331939
SRR8798075.32442 chr4 - 11331939
SRR8798075.21291 chr4 - 11332710
SRR8798075.55509 chr4 - 11332759
SRR8798075.53377 chr4 - 11332985
SRR8798075.36590 chr4 - 11333059
SRR8798075.48704 chr4 - 11333059
SRR8798075.58036 chr4 - 11333059
SRR8798075.51232 chr4 - 11333087
SRR8798075.21557 chr4 - 11959807
SRR8798075.48635 chr4 - 12100496
SRR8798075.59712 chr4 - 12153722
SRR8798075.60591 chr4 - 12170982
SRR8798075.33041 chr4 - 12857164
SRR8798075.19086 chr4 - 13609838
SRR8798075.14449 chr4 - 13715311
SRR8798075.53402 chr4 - 14283658
SRR8798075.2483 chr4 - 14791139
SRR8798075.57319 chr4 - 14791139
SRR8798075.58524 chr4 - 14791578
SRR8798075.34744 chr4 - 14810044
SRR8798075.43305 chr4 - 15307204
SRR8798075.60483 chr4 - 16123375
SRR8798075.39082 chr4 - 18843699
SRR8798075.4226 chr4 - 18843706
SRR8798075.27814 chr4 - 18843706
SRR8798075.33308 chr4 - 18843706
SRR8798075.39469 chr4 - 18843715
SRR8798075.60470 chr4 - 18843715
SRR8798075.18133 chr4 - 18844422
SRR8798075.30655 chr4 - 19610893
SRR8798075.1681 chr4 - 19611453
SRR8798075.33938 chr4 - 20849460
SRR8798075.532 chr4 - 21593931
SRR8798075.15162 chr4 - 21593931
SRR8798075.57629 chr4 - 21593931
SRR8798075.48659 chr4 - 21593939
SRR8798075.43537 chr4 - 21593947
SRR8798075.1318 chr4 - 21595425
SRR8798075.49469 chr4 - 24533511
SRR8798075.55894 chr4 - 25196549
SRR8798075.63592 chr4 - 25249303
SRR8798075.53554 chr4 - 25250149
SRR8798075.24138 chr4 - 25867979
SRR8798075.52373 chr4 - 26324511
SRR8798075.7404 chr4 - 26783933
SRR8798075.52756 chr4 - 27462065
SRR8798075.48049 chr4 - 32159374
SRR8798075.62676 chr4 - 32159374
SRR8798075.23839 chr4 - 32159412
SRR8798075.10411 chr4 - 32831475
SRR8798075.14808 chr4 - 32876570
SRR8798075.49228 chr4 - 32876571
SRR8798075.42328 chr4 - 33245427
SRR8798075.12951 chr4 - 33245430
SRR8798075.18835 chr4 - 33245430
SRR8798075.63336 chr4 - 33245430
SRR8798075.1496 chr4 - 33245434
SRR8798075.38353 chr4 - 33245438
SRR8798075.7450 chr4 - 34570796
SRR8798075.26721 chr4 - 34663257
SRR8798075.61112 chr4 - 34663257
SRR8798075.38879 chr4 - 34768668
SRR8798075.41443 chr4 - 34999478
SRR8798075.28896 chr4 - 35191281
SRR8798075.48287 chr4 - 35191287
SRR8798075.56668 chr4 - 35191287
SRR8798075.9813 chr4 - 35709134
SRR8798075.20454 chr4 - 38172555
SRR8798075.59686 chr4 - 40013207
SRR8798075.55088 chr4 - 40204849
SRR8798075.54886 chr4 - 40204857
SRR8798075.35170 chr4 - 40259606
SRR8798075.51032 chr4 - 40259609
SRR8798075.22579 chr4 - 40259610
SRR8798075.32561 chr4 - 40422495
SRR8798075.15077 chr4 - 40686242
SRR8798075.36527 chr4 - 40686242
SRR8798075.16016 chr4 - 40736623
SRR8798075.8652 chr4 - 40737111
SRR8798075.23268 chr4 - 40737111
SRR8798075.29340 chr4 - 40737114
SRR8798075.12875 chr4 - 40737116
SRR8798075.15175 chr4 - 40737116
SRR8798075.37891 chr4 - 40737116
SRR8798075.44122 chr4 - 40737116
SRR8798075.6496 chr4 - 40737117
SRR8798075.8899 chr4 - 40737117
SRR8798075.9553 chr4 - 40737117
SRR8798075.9965 chr4 - 40737117
SRR8798075.9970 chr4 - 40737117
SRR8798075.16656 chr4 - 40737117
SRR8798075.17532 chr4 - 40737117
SRR8798075.18085 chr4 - 40737117
SRR8798075.20104 chr4 - 40737117
SRR8798075.20207 chr4 - 40737117
SRR8798075.20636 chr4 - 40737117
SRR8798075.22865 chr4 - 40737117
SRR8798075.29168 chr4 - 40737117
SRR8798075.29409 chr4 - 40737117
SRR8798075.60416 chr4 - 40737117
SRR8798075.63025 chr4 - 40737117
SRR8798075.34540 chr4 - 40737118
SRR8798075.18166 chr4 - 40737119
SRR8798075.25407 chr4 - 40737119
SRR8798075.39857 chr4 - 40737119
SRR8798075.52205 chr4 - 40737121
SRR8798075.19985 chr4 - 40737122
SRR8798075.7354 chr4 - 40737123
SRR8798075.213 chr4 - 40775093
SRR8798075.2885 chr4 - 40775093
SRR8798075.7774 chr4 - 40775093
SRR8798075.11939 chr4 - 40775093
SRR8798075.13961 chr4 - 40775093
SRR8798075.14081 chr4 - 40775093
SRR8798075.16590 chr4 - 40775093
SRR8798075.19201 chr4 - 40775093
SRR8798075.20274 chr4 - 40775093
SRR8798075.25585 chr4 - 40775093
SRR8798075.50607 chr4 - 40775093
SRR8798075.51135 chr4 - 40775093
SRR8798075.53387 chr4 - 40775093
SRR8798075.54378 chr4 - 40775093
SRR8798075.57685 chr4 - 40775093
SRR8798075.60438 chr4 - 40775093
SRR8798075.38062 chr4 - 40775101
SRR8798075.2102 chr4 - 40911693
SRR8798075.4518 chr4 - 40911693
SRR8798075.5310 chr4 - 40911693
SRR8798075.19503 chr4 - 40911693
SRR8798075.21067 chr4 - 40911693
SRR8798075.36518 chr4 - 40911693
SRR8798075.38239 chr4 - 40911693
SRR8798075.23316 chr4 - 40911694
SRR8798075.25086 chr4 - 40912217
SRR8798075.50150 chr4 - 40912238
SRR8798075.8629 chr4 - 41114427
SRR8798075.34088 chr4 - 41194314
SRR8798075.1764 chr4 - 41194315
SRR8798075.6588 chr4 - 41194315
SRR8798075.9036 chr4 - 41194315
SRR8798075.11716 chr4 - 41194315
SRR8798075.24301 chr4 - 41194315
SRR8798075.28588 chr4 - 41194315
SRR8798075.34774 chr4 - 41194315
SRR8798075.61113 chr4 - 41194315
SRR8798075.45635 chr4 - 41194317
SRR8798075.17932 chr4 - 41291302
SRR8798075.18253 chr4 - 41291302
SRR8798075.18326 chr4 - 41291302
SRR8798075.22208 chr4 - 41291302
SRR8798075.24677 chr4 - 41291304
SRR8798075.30614 chr4 - 41291304
SRR8798075.43278 chr4 - 41291304
SRR8798075.54789 chr4 - 41291304
SRR8798075.34323 chr4 - 41291305
SRR8798075.16524 chr4 - 41291309
SRR8798075.39190 chr4 - 41292488
SRR8798075.4634 chr4 - 41292496
SRR8798075.34252 chr4 - 41292496
SRR8798075.761 chr4 - 41292501
SRR8798075.28629 chr4 - 41292501
SRR8798075.37262 chr4 - 41292501
SRR8798075.32647 chr4 - 41292517
SRR8798075.25924 chr4 - 41389619
SRR8798075.56446 chr4 - 41389621
SRR8798075.56034 chr4 - 41389772
SRR8798075.31495 chr4 - 41393437
SRR8798075.42911 chr4 - 41393437
SRR8798075.18199 chr4 - 41712014
SRR8798075.21967 chr4 - 41712027
SRR8798075.44705 chr4 - 41712033
SRR8798075.46319 chr4 - 41712033
SRR8798075.56698 chr4 - 41712051
SRR8798075.9093 chr4 - 41714943
SRR8798075.6481 chr4 - 41714947
SRR8798075.18172 chr4 - 41714947
SRR8798075.20070 chr4 - 41714947
SRR8798075.23129 chr4 - 41714947
SRR8798075.28540 chr4 - 41714947
SRR8798075.25691 chr4 - 41714954
SRR8798075.38268 chr4 - 41714954
SRR8798075.11822 chr4 - 41738496
SRR8798075.36132 chr4 - 41738498
SRR8798075.35709 chr4 - 41738520
SRR8798075.41585 chr4 - 41815382
